resource_id,title,description,cover,file_url,file_name,file_size,file_format,preview_images,category_id,tags,vip_level,user_id,audit_status,audit_msg,auditor_id,audited_at,download_count,view_count,like_count,collect_count,is_top,is_recommend,status,created_at,updated_at
res-008,PPT模板合集,商务风格PPT模板,https://picsum.photos/id/15/800/600,/uploads/test/ppt-templates.zip,ppt-templates.zip,83886080,ZIP,"https://picsum.photos/id/15/800/600,https://picsum.photos/id/16/800/600,https://picsum.photos/id/17/800/600,https://picsum.photos/id/18/800/600,https://picsum.photos/id/19/800/600",5ea2ff7a-98b9-4eb2-9629-12ce0a96eca4,"PPT,模板",0,,1,,,,407,1165,70,55,true,true,1,2025-12-22T22:10:49.512Z,2025-12-22T14:43:35.278Z
res-004,摄影图片素材,高清摄影图片,https://picsum.photos/id/20/800/600,/uploads/test/photos.zip,photos.zip,104857600,ZIP,"https://picsum.photos/id/20/800/600,https://picsum.photos/id/21/800/600,https://picsum.photos/id/22/800/600,https://picsum.photos/id/23/800/600,https://picsum.photos/id/24/800/600",407fddd6-f21c-4975-b288-483ca0bb714e,"摄影,图片",0,,1,,,,200,600,40,28,false,false,1,2025-12-22T22:10:48.709Z,2025-12-22T22:10:48.709Z
res-007,图标素材库,扁平化图标素材,https://picsum.photos/id/35/800/600,/uploads/test/icons.svg,icons.svg,5242880,SVG,"https://picsum.photos/id/35/800/600,https://picsum.photos/id/36/800/600,https://picsum.photos/id/37/800/600,https://picsum.photos/id/38/800/600,https://picsum.photos/id/39/800/600",4af3111e-1ef1-4760-8810-deb3bf817778,"图标,SVG",0,,1,,,,250,700,45,32,false,true,1,2025-12-22T22:10:49.290Z,2025-12-22T22:10:49.290Z
bbb9467f-28e4-4355-8136-4b44c33059ac,党建文化墙设计,党建文化墙设计方案，高清大图,https://picsum.photos/id/45/800/600,/files/party-building/党建文化墙设计.ai,党建文化墙设计.ai,30361285,AI,"https://picsum.photos/id/45/800/600,https://picsum.photos/id/46/800/600,https://picsum.photos/id/47/800/600,https://picsum.photos/id/48/800/600,https://picsum.photos/id/49/800/600",8cbc36e3-4974-493b-b2d4-13075e88d84c,"党建,文化墙,设计",0,1bbc0bc7-9d9f-4c8a-a138-61ebbf9e9e2d,1,,,,85,692,91,110,false,false,1,2025-12-23T08:01:36.751Z,2025-12-23T08:01:36.751Z
07935402-2ede-4e33-a0cf-263585751e91,红色革命主题插画,红色革命主题插画素材包,https://picsum.photos/id/55/800/600,/files/party-building/红色革命主题插画.svg,红色革命主题插画.svg,20167596,SVG,"https://picsum.photos/id/55/800/600,https://picsum.photos/id/56/800/600,https://picsum.photos/id/57/800/600,https://picsum.photos/id/58/800/600,https://picsum.photos/id/59/800/600",8cbc36e3-4974-493b-b2d4-13075e88d84c,"党建,插画,革命",1,1bbc0bc7-9d9f-4c8a-a138-61ebbf9e9e2d,1,,,,10,291,130,27,false,false,1,2025-12-23T08:01:36.753Z,2025-12-23T08:01:36.753Z
64627540-33a4-49e6-b5c9-b89af8a0a34a,后台管理系统UI,后台管理系统界面设计模板,https://picsum.photos/id/60/800/600,/files/ui-design/后台管理系统UI.figma,后台管理系统UI.figma,41831584,FIGMA,"https://picsum.photos/id/60/800/600,https://picsum.photos/id/61/800/600,https://picsum.photos/id/62/800/600,https://picsum.photos/id/63/800/600,https://picsum.photos/id/64/800/600",1ef70739-afec-4042-9e8d-d45f963ebddf,"UI,后台,管理系统",1,1bbc0bc7-9d9f-4c8a-a138-61ebbf9e9e2d,1,,,,36,340,97,67,false,false,1,2025-12-23T08:01:36.794Z,2025-12-23T08:01:36.794Z
res-003,插画素材合集,手绘风格插画素材,https://picsum.photos/id/65/800/600,/uploads/test/illustration.ai,illustration.ai,31457280,AI,"https://picsum.photos/id/65/800/600,https://picsum.photos/id/66/800/600,https://picsum.photos/id/67/800/600,https://picsum.photos/id/68/800/600,https://picsum.photos/id/69/800/600",b882ca28-c4f0-4f98-92d0-887807f5641e,"插画,手绘",1,,1,,,,123,400,25,18,false,true,1,2025-12-22T22:10:48.544Z,2025-12-22T14:35:43.182Z
2ea3f1de-6239-4d48-9fcc-da494cde6dc1,图标icon合集,1000+精美图标icon合集,https://picsum.photos/id/30/800/600,/files/ui-design/图标icon合集.svg,图标icon合集.svg,37758732,SVG,"https://picsum.photos/id/30/800/600,https://picsum.photos/id/31/800/600,https://picsum.photos/id/32/800/600,https://picsum.photos/id/33/800/600,https://picsum.photos/id/34/800/600",1ef70739-afec-4042-9e8d-d45f963ebddf,"UI,图标,icon",0,6f8b7f46-4cd6-439a-a1df-9986b1d3249e,1,,,,356,72,10,130,false,false,1,2025-12-23T08:01:36.800Z,2025-12-23T08:01:36.800Z
988c4605-7cbd-43ca-95e9-aef7b9758fa3,党建宣传海报模板,红色主题党建宣传海报，适用于党建活动宣传,https://picsum.photos/id/10/800/600,/files/party-building/党建宣传海报模板.psd,党建宣传海报模板.psd,9741300,PSD,"https://picsum.photos/id/10/800/600,https://picsum.photos/id/11/800/600,https://picsum.photos/id/12/800/600,https://picsum.photos/id/13/800/600,https://picsum.photos/id/14/800/600",8cbc36e3-4974-493b-b2d4-13075e88d84c,"党建,海报,红色",0,1bbc0bc7-9d9f-4c8a-a138-61ebbf9e9e2d,1,,,,186,356,197,88,false,false,1,2025-12-23T08:01:36.743Z,2025-12-23T08:01:36.743Z
res-005,渐变背景素材,精美渐变背景图,https://picsum.photos/id/25/800/600,/uploads/test/gradient-bg.zip,gradient-bg.zip,20971520,ZIP,"https://picsum.photos/id/25/800/600,https://picsum.photos/id/26/800/600,https://picsum.photos/id/27/800/600,https://picsum.photos/id/28/800/600,https://picsum.photos/id/29/800/600",b4f4df6f-6940-45a4-9bff-87c2ac654f61,"背景,渐变",0,,1,,,,180,550,35,22,false,true,1,2025-12-22T22:10:48.963Z,2025-12-22T22:10:48.963Z
